step,time,KE,PE,E_total,E_per_atom
2070,10.35,106.90861772057767,-642.9623278277379,-536.0537101071602,-4.963460278770002
2080,10.4,105.61389919495076,-641.6719670627123,-536.0580678677616,-4.9635006284052
2090,10.450000000000001,112.0357824854949,-648.1033386806397,-536.0675561951448,-4.963588483288378
2100,10.5,115.88099999999993,-646.6696001344397,-530.7886001344398,-4.914709260504072
2110,10.55,114.77638237974062,-645.5858967278119,-530.8095143480713,-4.91490291063029
2120,10.6,112.85843575768031,-643.640763363111,-530.7823276054306,-4.914651181531765
2130,10.65,117.88726219331474,-648.6999533402324,-530.8126911469176,-4.914932325434422
2140,10.700000000000001,106.25150339643818,-637.0379782005551,-530.786474804117,-4.914689581519602
2150,10.75,102.36243224375508,-633.1657183748299,-530.8032861310749,-4.914845241954397
2160,10.8,111.91013946115686,-642.7232856384117,-530.8131461772548,-4.914936538678285
2170,10.85,112.69579511753699,-643.4982891118838,-530.8024939943468,-4.914837907355063
2180,10.9,113.92439793187611,-644.7351533926367,-530.8107554607606,-4.91491440241445
2190,10.950000000000001,110.76030146312318,-641.5219965457027,-530.7616950825795,-4.914460139653515
2200,11.0,115.88099999999987,-649.2796966142554,-533.3986966142555,-4.938876820502366
2210,11.05,110.17651004176466,-643.5693811884184,-533.3928711466538,-4.9388228809875345
2220,11.1,98.43287471730373,-631.8061380843985,-533.3732633670948,-4.9386413274731
2230,11.15,106.84280290413162,-640.2348826568909,-533.3920797527593,-4.93881555326629
2240,11.200000000000001,113.74412108497211,-647.142674350392,-533.3985532654199,-4.938875493198332
2250,11.25,103.18680701672979,-636.5671633069534,-533.3803562902236,-4.938707002687256
2260,11.3,108.20454990472587,-641.596091815593,-533.3915419108671,-4.9388105732487695
2270,11.35,108.71660408139537,-642.1078344076859,-533.3912303262905,-4.938807688206394
2280,11.4,102.21264574107981,-635.5978726751999,-533.3852269341202,-4.938752101241853
2290,11.450000000000001,110.9725355765916,-644.39753508527,-533.4249995086784,-4.939120365821096
2300,11.5,115.88099999999997,-644.0518611863439,-528.1708611863439,-4.890470936910592
2310,11.55,107.22713372437114,-635.3485841380467,-528.1214504136756,-4.890013429756255
2320,11.6,112.37452712975447,-640.5437144536899,-528.1691873239354,-4.890455438184587
2330,11.65,110.49522056521904,-638.6482483602496,-528.1530277950305,-4.890305812916949
2340,11.700000000000001,113.91646480793626,-642.0627344984088,-528.1462696904725,-4.890243237874746
2350,11.75,117.95872902603948,-646.1072269214188,-528.1484978953794,-4.890263869401661
