step,time,T,P,PE,KE,E_total,E_per_atom,density,virial,min_r,max_f,p_COM
330,1.6500000000000001,0.7191952445498471,-1.432301197781897,-638.8480393421413,115.43083675025045,-523.4172025918908,-4.8464555795545445,0.8442,-490.22601801289966,0.9601746369577958,40.93916673846753,2.3027310896507317e-14
340,1.7,0.7295638648408589,-1.4824628259280226,-640.5398503557943,117.09500030695786,-523.4448500488364,-4.846711574526263,0.8442,-512.8372485699223,0.9759445524956559,26.92514810768448,2.7270585820756987e-14
350,1.75,0.6565437762256808,-1.126632337380106,-628.7955466457125,105.37527608422177,-523.4202705614907,-4.84648398668047,0.8442,-352.6126674947986,0.9509988625171296,41.77545157304668,2.954713671837708e-14
360,1.8,0.674330144110524,-1.305656133434477,-631.6425594184551,108.22998812973911,-523.412571288716,-4.84641269711774,0.8442,-427.08394384468346,0.9730279374140913,30.86524677263618,3.059565978385704e-14
370,1.85,0.7213301526909988,-1.6965424222785581,-639.1779229442644,115.7734895069053,-523.4044334373591,-4.846337346642214,0.8442,-592.332270701377,0.9389215070390383,60.06229488791907,2.8258283994004153e-14
380,1.9000000000000001,0.7928358059616618,-2.167851448008014,-650.7048155363412,127.25014685684671,-523.4546686794945,-4.846802487773097,0.8442,-796.3862956047863,0.9693474938455302,33.18191695739038,2.936728778883788e-14
390,1.95,0.7785203550145882,-2.045086806715654,-648.3811300146457,124.95251697984139,-523.4286130348044,-4.846561231803744,0.8442,-744.6315960381799,0.9496095152634981,46.423439618202515,3.441333221242959e-14
400,2.0,0.7220000000000008,-1.857337053705273,-644.4026029023861,115.88100000000011,-528.521602902386,-4.893718545392463,0.8442,-654.2615265105354,0.9632542889963739,37.164890835082424,3.0104770051969265e-14
410,2.05,0.6872735097458078,-1.5400511848432048,-638.8421639639552,110.30739831420215,-528.534765649753,-4.893840422682898,0.8442,-521.2373155334814,0.9714682404377247,30.612939338216762,3.07788184553749e-14
420,2.1,0.663428651276658,-1.3579184911614786,-635.0189350356901,106.4802985299036,-528.5386365057865,-4.8938762639424676,0.8442,-443.6099079082172,0.9710648315998771,32.057564728435864,3.0995907808897675e-14
430,2.15,0.6905563084750156,-1.546437140910813,-639.3553357984993,110.83428751024,-528.5210482882593,-4.893713410076475,0.8442,-524.7518423050485,0.9665660196642091,31.687447741349015,3.245433951319268e-14
440,2.2,0.7655496820228014,-1.9824391398493546,-651.4266576979235,122.87072396465962,-528.5559337332638,-4.894036423456146,0.8442,-716.3852173152079,0.957701551341538,38.82689497944771,3.544318811944909e-14
450,2.25,0.6472586381583845,-1.2543885940763795,-632.3923319144932,103.88501142442071,-528.5073204900725,-4.893586300834005,0.8442,-398.6365347979439,0.9635173920552164,40.96903125290478,3.599674522208546e-14
460,2.3000000000000003,0.6815272285050422,-1.4515432891783298,-637.9210644999333,109.38512017505927,-528.5359443248741,-4.893851336341426,0.8442,-485.40660523092424,0.9525200063253981,49.62040980476227,3.747401544784951e-14
470,2.35,0.6649869865885712,-1.3247398503883971,-635.2637181842814,106.73041134746569,-528.5333068368157,-4.8938269151557,0.8442,-431.38100185598364,0.9437931632669105,50.971374756038706,3.766546149626048e-14
480,2.4,0.646769302960929,-1.1650902616322751,-632.3324528185841,103.80647312522912,-528.525979693355,-4.8937590712347685,0.8442,-364.2057090853569,0.9666102051920535,30.73154397879494,3.71324480627592e-14
490,2.45,0.7041745874431028,-1.522296918470564,-641.5385501510544,113.020021284618,-528.5185288664364,-4.893690082096634,0.8442,-519.8992605558583,0.9668347405395116,42.51454935996828,3.110895198048238e-14
500,2.5,0.7220000000000002,-1.8406521225121883,-650.1055191083443,115.88100000000003,-534.2245191083443,-4.946523325077262,0.8442,-647.8579281848312,0.9848008307836568,24.08877006096426,3.1380857503664885e-14
510,2.5500000000000003,0.639593668986302,-1.3636595333180348,-636.8442983272232,102.65478387230146,-534.1895144549218,-4.946199207915942,0.8442,-438.0907586955666,0.9732122763101565,33.7009072717605,2.7016043188011817e-14
520,2.6,0.6450400836663831,-1.4908631774378698,-637.7258792048195,103.52893342845448,-534.196945776365,-4.946268016447824,0.8442,-488.67555897423745,0.9631586545657566,35.684893833350145,2.8202505804285003e-14
530,2.65,0.6826182805869121,-1.813928090184835,-643.7768780859423,109.5602340341994,-534.2166440517428,-4.946450407886508,0.8442,-624.8416928456866,0.9686473682363962,36.49121211110907,2.8305081035060772e-14
540,2.7,0.599300624516307,-1.3186964788487217,-630.3632898418534,96.18775023486727,-534.1755396069861,-4.946069811175797,0.8442,-407.7792028960805,0.9306462630650846,65.19957488864654,3.146592453111691e-14
550,2.75,0.6679521331808406,-1.6558743528085784,-641.4328181330037,107.20631737552492,-534.2265007574788,-4.946541673680359,0.8442,-559.4295780845711,0.9799205330640273,29.78096163483771,3.215145307183841e-14
560,2.8000000000000003,0.6650470674677448,-1.560512562798157,-640.9327762817524,106.74005432857304,-534.1927219531793,-4.946228906973882,0.8442,-521.8889291136222,0.9647097258133801,33.7956907962907,3.729589311216769e-14
570,2.85,0.6689504699129664,-1.4306458053714866,-641.5836798627508,107.3665504210311,-534.2171294417197,-4.946454902238146,0.8442,-473.3113791886018,0.9899616760063652,22.375583368825062,3.415755224171513e-14
580,2.9,0.6360571587732612,-1.2869671739427857,-636.2603666669916,102.08717398310841,-534.1731926838831,-4.946048080406325,0.8442,-407.5107616092602,0.9532818545049166,48.87221615260644,3.2286881366812666e-14
590,2.95,0.6979046269398632,-1.7546083486340942,-646.2379097596223,112.01369262384804,-534.2242171357743,-4.946520529034948,0.8442,-607.027830515784,0.9573707581319678,37.42797943064364,3.377086024696424e-14
600,3.0,0.7220000000000002,-1.5277934819395473,-640.113185272967,115.88100000000003,-524.232185272967,-4.854001715490434,0.8442,-527.7842495002355,0.9250128367281467,68.26946626006357,3.596030200612134e-14
610,3.0500000000000003,0.7333152959586854,-1.5444945077708652,-641.9282241415917,117.697105001369,-524.2311191402227,-4.8539918438909515,0.8442,-537.8601807632103,0.9645101847466963,34.28498641976182,3.5046544498552264e-14
620,3.1,0.7388931483921535,-1.5603307107702162,-642.8379755370989,118.59235031694064,-524.2456252201583,-4.854126159445911,0.8442,-545.7452653778441,0.971699588086447,33.406393632465694,3.310959811476178e-14
630,3.15,0.7309126591848758,-1.5457062015142609,-641.5469895441394,117.31148179917257,-524.2355077449668,-4.854032479120063,0.8442,-537.5467688233601,0.9409910740667212,57.45937206849505,3.474590133714902e-14
640,3.2,0.6993591406668734,-1.3755878232589964,-636.4650575183383,112.24714207703319,-524.2179154413051,-4.853869587419491,0.8442,-462.0327932458139,0.9636364621961897,40.15101746696856,3.3857991332591434e-14
650,3.25,0.7033627650576051,-1.4087237790793066,-637.1253336413364,112.88972379174562,-524.2356098495908,-4.854033424533248,0.8442,-476.0473919570587,0.9541812116222969,45.29421894869644,3.417470145088648e-14
660,3.3000000000000003,0.7380311026731889,-1.649511388475251,-642.6909434051723,118.45399197904683,-524.2369514261255,-4.8540458465382,0.8442,-579.6930883365549,0.9658590346185968,39.271256828142924,3.062391031040267e-14
670,3.35,0.7571789470328475,-1.764588769334293,-645.8008509999487,121.52722099877202,-524.2736300011767,-4.854385462973858,0.8442,-630.0631488741749,0.981594424332551,28.018864031866975,3.7429379094532247e-14
680,3.4,0.6861103221527669,-1.3301497346980828,-634.3580222135724,110.12070670551908,-524.2373155080534,-4.854049217667161,0.8442,-440.3012507999845,0.9642175304006434,36.941960183265685,3.482549487813485e-14
690,3.45,0.7361782074526585,-1.6689001634960214,-642.397551045262,118.15660229615169,-524.2409487491103,-4.8540828587880585,0.8442,-586.534071188597,0.9454501610598105,47.454867684883475,3.3904727933997453e-14
700,3.5,0.7220000000000002,-1.8077722414022226,-643.9267680740526,115.88100000000003,-528.0457680740526,-4.889312667352339,0.8442,-635.2387840488102,0.9412323249827839,52.724015275198944,3.8587328126633226e-14
710,3.5500000000000003,0.7694013021248757,-2.028728418162127,-651.5522870720699,123.48890899104255,-528.0633780810274,-4.889475722972476,0.8442,-735.3987501095146,0.9696802248299297,29.606496402152676,3.5636083846822225e-14
720,3.6,0.7492547446540271,-1.8358041206057023,-648.3007966722737,120.25538651697134,-528.0454101553023,-4.889309353289836,0.8442,-654.8278250621869,0.9484531513467391,48.83674819562543,3.587549876119304e-14
730,3.65,0.7049156847141916,-1.528350083335419,-641.1967067903099,113.13896739662776,-528.0577393936821,-4.8894235129044645,0.8442,-522.4625523524458,0.9644914274427614,31.377460817386034,3.622908875431677e-14
740,3.7,0.6835148677998619,-1.4366424184890512,-637.7544555077376,109.70413628187784,-528.0503192258598,-4.88935480764685,0.8442,-480.33171608937516,0.9631842957442592,33.45174892229506,3.627111110163552e-14
750,3.75,0.6997629069355221,-1.5499581414380508,-640.3532184642492,112.3119465631513,-528.0412719010978,-4.889271036121277,0.8442,-529.0861236921861,0.9613784409825624,37.66327855433467,2.848349600475316e-14
760,3.8000000000000003,0.681240139716458,-1.411465732713597,-637.366283528607,109.33904242449151,-528.0272411041155,-4.889141121334403,0.8442,-469.9320102893252,0.9556295211449564,42.21540727767287,3.0850618829273926e-14
770,3.85,0.7481509361922059,-1.802131480067172,-648.1329716228025,120.07822525884903,-528.0547463639535,-4.889395799666237,0.8442,-641.5467896345538,0.9718530585979775,29.384313719075063,3.6451853001344686e-14
780,3.9,0.7273056818123832,-1.7395016966839845,-644.7806890448884,116.7325619308875,-528.0481271140009,-4.889334510314823,0.8442,-610.7559101387882,0.9573964187860703,37.016700426707885,4.162448069165389e-14
790,3.95,0.6669926375513736,-1.3916950534860915,-635.0949511389999,107.05231832699546,-528.0426328120045,-4.88928363714819,0.8442,-457.7279256412471,0.9600476041304937,40.02845008889772,4.486417286779025e-14
800,4.0,0.7220000000000003,-1.4559110904539052,-637.216114867297,115.88100000000006,-521.335114867297,-4.827176989512009,0.8442,-500.1961248362365,0.9226670000356749,71.35769194196934,4.421911826966107e-14
810,4.05,0.7413753817045075,-1.5932621413301322,-640.3297426044616,118.99074876357345,-521.3389938408881,-4.827212905934148,0.8442,-559.1884375441489,0.9628664636282812,38.682276469510356,4.9418020996810827e-14
820,4.1,0.7498905417397478,-1.647282415906985,-641.7068086772862,120.35743194922952,-521.3493767280567,-4.827309043778302,0.8442,-582.6800773781542,0.9542075958315445,41.88833184042176,4.970912011303359e-14
830,4.15,0.7624413660097792,-1.796364716283883,-643.6973580184178,122.37183924456956,-521.3255187738483,-4.827088136794892,0.8442,-643.9636320063387,0.9644233088554609,42.03321121062483,4.785924947840292e-14
840,4.2,0.7430103109207044,-1.7115584576022036,-640.5924803731622,119.25315490277305,-521.3393254703891,-4.827215976577677,0.8442,-605.1197258873243,0.9560320176861133,38.0740171638589,4.792075486677619e-14
850,4.25,0.7165824217156781,-1.480336728512491,-636.3545103839577,115.01147868536634,-521.3430316985914,-4.827250293505476,0.8442,-507.8152747824476,0.949940327301343,42.233788114587604,4.8465067956454075e-14
860,4.3,0.675862720011274,-1.1288248720522587,-629.8075573265066,108.47596656180949,-521.3315907646971,-4.82714435893238,0.8442,-359.71348980369226,0.973204626862626,32.658861231407045,5.197724181408794e-14
870,4.3500000000000005,0.7275976273439352,-1.4077316014295356,-638.1399694394526,116.7794191887016,-521.360550250751,-4.827412502321768,0.8442,-483.5186942099858,0.944618158336549,49.3847584879667,5.289373862434764e-14
880,4.4,0.7496243026244787,-1.5671038120604406,-641.66531926566,120.31470057122883,-521.3506186944311,-4.827320543466954,0.8442,-551.8216438528284,0.9640135938724762,34.11207578149297,5.251038025651315e-14
890,4.45,0.7241553747336433,-1.4575914666647671,-637.5562162665261,116.22693764474975,-521.3292786217763,-4.827122950201633,0.8442,-501.5393867573039,0.9601896710638861,39.911723092564024,5.824297735578287e-14
900,4.5,0.7219999999999994,-1.5257461997729453,-638.9858535451199,115.8809999999999,-523.10485354512,-4.843563458751111,0.8442,-526.9985122081492,0.9532939055581624,44.398300352553235,5.738599336196597e-14
910,4.55,0.6815727989060605,-1.3143389479376635,-632.4638258017785,109.3924342244227,-523.0713915773558,-4.843253625716257,0.8442,-432.76298747514,0.9639169684858053,39.88339559445325,5.747997439686174e-14
920,4.6000000000000005,0.7591480007558866,-1.830072623088709,-644.945726651861,121.8432541213198,-523.1024725305413,-4.843541412319826,0.8442,-655.8335181776567,0.9638946647897214,38.45090842104396,5.3760078131199996e-14
930,4.65,0.7369104196584245,-1.6533590930914372,-641.3741238389541,118.27412235517714,-523.100001483777,-4.843518532257194,0.8442,-580.8067180225293,0.9519732875689779,42.18388750333963,4.985658574286882e-14
940,4.7,0.699466334057056,-1.2720374622518706,-635.3457852751189,112.2643466161575,-523.0814386589615,-4.843346654249643,0.8442,-422.32538108699924,0.9613894969755967,37.191849200862045,5.61614478909586e-14
950,4.75,0.6891825331851605,-1.0886959002380172,-633.7024057572772,110.61379657621826,-523.0886091810589,-4.843413047972768,0.8442,-348.6277981279728,0.935553788005753,54.16809230260589,5.4012002489055506e-14
960,4.8,0.6627505455575702,-0.8588795406920791,-629.458121909305,106.37146256199001,-523.0866593473149,-4.84339499395662,0.8442,-251.86139337273409,0.9613055841457439,43.95294039341547,4.8209623187749566e-14
970,4.8500000000000005,0.7132024240433376,-1.1877235847870469,-637.5645021425947,114.46898905895567,-523.095513083639,-4.843476972996658,0.8442,-394.4166035737521,0.9658808699297529,31.506103109955234,5.258640825191315e-14
980,4.9,0.7276618512251434,-1.3205472994265066,-639.8824499905409,116.78972712163551,-523.0927228689054,-4.84345113767505,0.8442,-450.07857660560984,0.9704173231809492,33.08191134966561,5.734667327611837e-14
990,4.95,0.702631923656607,-1.172791972034053,-635.8384877838906,112.77242374688542,-523.0660640370052,-4.843204296638937,0.8442,-385.26107851553274,0.9417823786551756,49.21278978331475,5.355306916773722e-14
1000,5.0,0.722,-1.6537914078478204,-646.7616090112963,115.881,-530.8806090112963,-4.91556119454904,0.8442,-576.1416624287838,0.9768834724143074,34.690321474266895,3.718577536922058e-15
1010,5.05,0.7144507112213704,-1.6947553907307569,-645.536031462895,114.66933915102994,-530.8666923118651,-4.915432336220973,0.8442,-589.4174773398352,0.9471909082640837,52.34184010454351,1.0395602503531689e-14
1020,5.1000000000000005,0.7041962854658216,-1.6319178014761047,-643.8963925465556,113.02350381726436,-530.8728887292913,-4.9154897104564,0.8442,-561.9782713996485,0.9673298784092988,37.89673511571754,9.556950438430676e-15
1030,5.15,0.6793462342557263,-1.4521529986288626,-639.9338249127952,109.03507059804407,-530.8987543147512,-4.9157292066180664,0.8442,-484.93396672121605,0.9727247752665756,30.644797281549607,6.63602452622439e-15
1040,5.2,0.6762936000174421,-1.428415130168783,-639.4237810810724,108.54512280279945,-530.878658278273,-4.915543132206231,0.8442,-474.8344306633759,0.9568849702112009,42.7050663699265,3.8636120163593794e-15
1050,5.25,0.7252426087009805,-1.7607687922891082,-647.2925905840743,116.40143869650736,-530.8911518875669,-4.915658813773768,0.8442,-618.2496859835769,0.9591686953098598,39.36497158230119,4.016031340300579e-15
1060,5.3,0.6855396739440095,-1.5854662207418966,-640.8947911609336,110.02911766801353,-530.86567349292,-4.915422902712222,0.8442,-538.1056304773331,0.9825073810082178,25.671831752060207,3.60408580779089e-15
1070,5.3500000000000005,0.7149284431430825,-1.7624868673784584,-645.6356592649199,114.74601512446473,-530.8896441404552,-4.915644853152362,0.8442,-615.5672855029097,0.9748597311844112,27.157068120152886,5.576319813133673e-15
1080,5.4,0.672627204383773,-1.4855778872323526,-638.8383903135749,107.95666630359557,-530.8817240099793,-4.9155715186109195,0.8442,-495.58531649820037,0.9667934938233665,34.276604024378884,9.21025450825063e-15
1090,5.45,0.6706746334594822,-1.4421924344361825,-638.540239477696,107.64327867024689,-530.8969608074491,-4.915712600068973,0.8442,-478.30155024941115,0.9794598996738031,28.703536166753764,1.2194469871996146e-14
1100,5.5,0.7219999999999999,-1.3042504050647081,-635.8076766510928,115.88099999999999,-519.9266766510929,-4.814135894917526,0.8442,-441.9894651985914,0.962411322077618,38.710195002113,1.4702394586433727e-14
1110,5.55,0.7374161816509462,-1.4630857712072878,-638.2846751121541,118.35529715497687,-519.9293779571773,-4.8141609070109,0.8442,-507.94457650907236,0.9492109610704111,42.60765642186699,1.4678002862885988e-14
1120,5.6000000000000005,0.792778175213004,-1.8874574240395674,-647.1887559915696,127.24089712168714,-519.9478588698825,-4.814332026572986,0.8442,-688.753712124267,0.9714996851448365,32.166398621417976,1.6229584827041372e-14
1130,5.65,0.7376643719995467,-1.5666797768063971,-638.30987022181,118.39513170592724,-519.9147385158827,-4.814025356628544,0.8442,-547.7838835889265,0.9459115764179505,52.16538451835112,1.064041766486287e-14
1140,5.7,0.6913723111871717,-1.1397336495595922,-630.891888313151,110.96525594554106,-519.92663236761,-4.814135484885277,0.8442,-368.9253349807599,0.9575625459588882,39.779755076976606,1.568199847234775e-14
